State,Operating expenditures per acre,Capital expenditures per acre,Acres,Attendance (Visits),Revenue
"Alabama
",862,11,48357,4815408,38194560
"Arizona
",346,89,64413,3189830,20362172
"Arkansas
",1160,327,54680,7107728,28388852
California,375,22,1647485,81043233,132153792
Colorado,40,13,1579521,14777034,85245744
Connecticut,78,17,209677,9133829,5229910
Delaware,1076,385,26413,5892564,19729878
Florida,114,162,721148,28178773,66067952
Georgia,593,228,83184,9003275,33663612
Idaho,306,94,58922,5696298,11793700
Illinois,103,571,482545,38527204,7220601
Indiana,367,107,171391,16764737,66756608
Iowa,172,118,116205,14492048,5309980
Kansas,425,102,32900,6883848,10689406
Kentucky,1984,403,44312,6504972,52713300
Louisiana,670,274,43326,1772179,10915966
Maine,93,2,98298,2804070,5347621
Maryland,470,61,140000,14094658,11971163
Massachusetts,237,95,353889,27291759,17567872
Michigan,223,37,302661,31276919,64369900
Minnesota,355,23,2883903,9736641,29319432
Mississippi,591,399,23620,1200204,9798317
Missouri,341,36,160333,22142186,14507401
Montana,232,65,46035,2663175,2469357
Nebraska,153,93,170207,10893836,35285900
Nevada,123,10,151453,3888111,6575550
New Hampshire,100,14,231628,1176567,25077124
New Jersey,89,42,453637,17437697,13989197
New Mexico,84,41,191587,5009789,6124015
New York,52,45,4318328,72031539,107004040
North Carolina,187,75,234976,19077563,11042540
North Dakota,487,157,35010,1496766,3866985
Ohio,422,210,174747,42831130,32025944
Oklahoma,464,203,61508,9903311,22904766
Oregon,580,64,113157,54421472,31261372
Pennsylvania,358,64,295172,38338408,25916980
Rhode Island,1213,467,9790,8927843,5444098
South Carolina,405,122,76727,8730516,30683592
South Dakota,224,97,102573,7734020,27865470
Tennessee,426,1,226472,40477387,42924100
Texas,128,3,640210,8771744,49995280
Utah,130,17,152616,5727533,25367914
Vermont,98,42,74291,986953,11490913
Virginia,621,0,73723,9442194,24818476
Washington,610,86,121729,36745425,49852400
West Virginia,285,34,151410,6865025,22700804
Wisconsin,135,32,158314,17748995,18486774
Wyoming,87,10,119565,4524623,2978779
